Semester,Course Code,Descriptive Title,Credit Units,Grade,Pre-requisites / Co-requisites
"THIRD YEAR, 2ND SEMESTER (25)",CSELEC 001 CS,Elective,1,1.0,(ITE 404) 3
"THIRD YEAR, 2ND SEMESTER (25)",ITE 010A,Human Computer Interaction,3,1.75,ITE 013(P)
"THIRD YEAR, 2ND SEMESTER (25)",CS 005,Information Assurance and Security,3,1.0,CS 004(P) ITE 014(P)
"THIRD YEAR, 2ND SEMESTER (25)",GEE 003,General Education Elective,3,1.0,3
"THIRD YEAR, 2ND SEMESTER (25)",CS 304,Software Engineering,2,1.75,3 CS 302(P) ITE 015(P)
"THIRD YEAR, 2ND SEMESTER (25)",CS 007,Parallel and Distributed Computing,3,1.0,CS 004(P)
"THIRD YEAR, 2ND SEMESTER (25)",CSELEC 002 CS,Elective,2,1.5,(ITE 405) 3
"FOURTH YEAR, 1ST SEMESTER (15)",TECH 101,Technopreneurship,3,1.0,ITE 015(P)
"FOURTH YEAR, 1ST SEMESTER (15)",FELEC 001,Free Elective (IS,5,1.75,) 3
"FOURTH YEAR, 1ST SEMESTER (15)",CSELEC 003 CS,Elective,3,1.25,(ITE 406) 3
"FOURTH YEAR, 1ST SEMESTER (15)",CS 307,Thesis,1,2.25,3 CS 304(P) TECH 101(C)
"FOURTH YEAR, 1ST SEMESTER (15)",GEC 008,Ethics,3,2.0,
"FOURTH YEAR, 2ND SEMESTER (6)",CS 402,Internship in Computing,3,1.25,CS 304(P)
"FOURTH YEAR, 2ND SEMESTER (6)",CS 401,Thesis,2,1.5,3 CS 307(P)
